Week,Contestant,Min Vote,Max Vote,Range,Certainty
1,David Hasselhoff,0.0,0.04307730893798424,0.04307730893798424,0.9569226910620158
1,Florence Henderson,0.03232297642038966,1.0,0.9676770235796104,0.032322976420389615
1,Kyle Massey,0.020059942840865264,1.0,0.9799400571591348,0.020059942840865208
1,Jennifer Grey,0.013773528464900472,1.0,0.9862264715350996,0.01377352846490043
1,Rick Fox,0.0168512781887369,1.0,0.9831487218112631,0.016851278188736885
1,Kurt Warner,0.03459290242763198,1.0,0.965407097572368,0.03459290242763202
1,Margaret Cho,0.0455370001175512,1.0,0.9544629998824488,0.04553700011755124
1,Michael Bolton,0.03926349440604242,1.0,0.9607365055939576,0.039263494406042376
1,Brandy,0.01620683969542254,1.0,0.9837931603045774,0.01620683969542258
1,The Situation,0.045538921564951575,1.0,0.9544610784350485,0.04553892156495154
1,Audrina Patridge,0.02888835277090642,1.0,0.9711116472290936,0.0288883527709064
1,Bristol Palin,0.03721772113196106,1.0,0.9627822788680389,0.03721772113196109
2,Florence Henderson,0.011339822114790447,1.0,0.9886601778852095,0.011339822114790454
2,Kyle Massey,0.006544900992857261,1.0,0.9934550990071427,0.0065449009928573165
2,Jennifer Grey,0.0,1.0,1.0,0.0
2,Rick Fox,0.004123514267586795,1.0,0.9958764857324132,0.004123514267586836
2,Kurt Warner,0.006292346879073221,1.0,0.9937076531209268,0.006292346879073207
2,Margaret Cho,0.017178325193108433,1.0,0.9828216748068915,0.017178325193108468
2,Michael Bolton,0.0,0.040549210973442856,0.040549210973442856,0.9594507890265571
2,Brandy,0.0050993048168733734,1.0,0.9949006951831266,0.0050993048168733734
2,The Situation,0.01717905003770074,1.0,0.9828209499622993,0.017179050037700705
2,Audrina Patridge,0.0,1.0,1.0,0.0
2,Bristol Palin,0.00727942269104398,1.0,0.992720577308956,0.00727942269104398
3,Florence Henderson,0.05063855936758096,1.0,0.949361440632419,0.05063855936758099
3,Kyle Massey,0.04773645827537795,1.0,0.952263541724622,0.04773645827537798
3,Jennifer Grey,0.04202404159011247,1.0,0.9579759584098875,0.042024041590112526
3,Rick Fox,0.036856636752393916,1.0,0.9631433632476061,0.03685663675239392
3,Kurt Warner,0.047590527895581144,1.0,0.9524094721044188,0.04759052789558116
3,Margaret Cho,0.0,0.058345815314101386,0.058345815314101386,0.9416541846858986
3,Brandy,0.03988110904629452,1.0,0.9601188909537055,0.039881109046294494
3,The Situation,0.053032700032869584,1.0,0.9469672999671304,0.05303270003286964
3,Audrina Patridge,0.027393780671613216,1.0,0.9726062193283868,0.027393780671613244
3,Bristol Palin,0.05970283716796351,1.0,0.9402971628320365,0.05970283716796354
4,Florence Henderson,0.04413334681546916,1.0,0.9558666531845308,0.04413334681546921
4,Kyle Massey,0.03527414089147679,1.0,0.9647258591085233,0.035274140891476735
4,Jennifer Grey,0.0,1.0,1.0,0.0
4,Rick Fox,0.03630337426526714,1.0,0.9636966257347328,0.036303374265267196
4,Kurt Warner,0.051252978004446226,1.0,0.9487470219955538,0.05125297800444617
4,Brandy,0.012909872411597814,1.0,0.9870901275884022,0.0129098724115978
4,The Situation,0.0,0.05921734884835264,0.05921734884835264,0.9407826511516474
4,Audrina Patridge,0.01406820712381393,1.0,0.985931792876186,0.014068207123813958
4,Bristol Palin,0.05542853707970785,1.0,0.9445714629202921,0.05542853707970785
5,Florence Henderson,0.0,0.07026471785183723,0.07026471785183723,0.9297352821481628
5,Kyle Massey,0.08451884809333811,0.7852161867055576,0.7006973386122195,0.2993026613877805
5,Jennifer Grey,0.05753924793385988,0.7910994628099,0.7335602148760401,0.26643978512395994
5,Rick Fox,0.0575875252929295,0.7761761478604225,0.718588622567493,0.281411377432507
5,Kurt Warner,0.06391030237112061,0.7899439389819505,0.7260336366108299,0.27396636338917013
5,Brandy,0.04992360264274112,0.7856597161733865,0.7357361135306454,0.2642638864693546
5,Audrina Patridge,0.06342174309935397,0.7676171508609316,0.7041954077615776,0.29580459223842237
5,Bristol Palin,0.09547516457671959,0.9146884868579568,0.8192133222812372,0.18078667771876278
6,Kyle Massey,0.10144101239575157,0.29370810089398136,0.1922670884982298,0.8077329115017702
6,Jennifer Grey,0.10654070329234624,0.2893224581515297,0.18278175485918344,0.8172182451408165
6,Rick Fox,0.09388743505566242,0.2438874350556624,0.14999999999999997,0.8500000000000001
6,Kurt Warner,0.13194674274503687,0.6986119578534346,0.5666652151083977,0.43333478489160226
6,Brandy,0.0710700583009217,0.2842434434572965,0.21317338515637482,0.7868266148436251
6,Audrina Patridge,0.0,0.08058242638213024,0.08058242638213024,0.9194175736178698
6,Bristol Palin,0.1074959210025525,0.30228588808694934,0.19478996708439683,0.8052100329156031
7,Kyle Massey,0.13159325360386825,0.8763186507207736,0.7447253971169054,0.25527460288309456
