Week,Contestant,Min Vote,Max Vote,Range,Certainty
1,Tatum O'Neal,0.0,0.9547260831075485,0.9547260831075485,0.04527391689245153
1,Tia Carrere,0.0,0.9538408919479374,0.9538408919479374,0.04615910805206258
1,George Hamilton,0.0546828457219897,0.9542063727478454,0.8995235270258557,0.1004764729741443
1,Lisa Rinna,0.0,0.9545229100919119,0.9545229100919119,0.045477089908088075
1,Stacy Keibler,0.0,0.9560323888087842,0.9560323888087842,0.04396761119121584
1,Jerry Rice,0.0,0.959564951779221,0.959564951779221,0.040435048220779035
1,Giselle Fernandez,0.0,0.9547993758299671,0.9547993758299671,0.0452006241700329
1,Master P,0.0582994408608322,1.0,0.9417005591391678,0.058299440860832163
1,Drew Lachey,0.0,0.9548548616647135,0.9548548616647135,0.04514513833528655
1,Kenny Mayne,0.0,0.05187754567337346,0.05187754567337346,0.9481224543266266
2,Tatum O'Neal,0.0,0.05717011066445421,0.05717011066445421,0.9428298893355458
2,Tia Carrere,0.0,0.9539513501517619,0.9539513501517619,0.04604864984823809
2,George Hamilton,0.0,0.9550164285215094,0.9550164285215094,0.044983571478490636
2,Lisa Rinna,0.061969773782089635,0.9544264124130064,0.8924566386309167,0.10754336136908327
2,Stacy Keibler,0.0,0.9582567875554614,0.9582567875554614,0.0417432124445386
2,Jerry Rice,0.0,0.9597228280127661,0.9597228280127661,0.040277171987233906
2,Giselle Fernandez,0.0,0.9544771768264452,0.9544771768264452,0.04552282317355483
2,Master P,0.06225749846887119,1.0,0.9377425015311288,0.062257498468871186
2,Drew Lachey,0.0,0.95506476113894,0.95506476113894,0.04493523886105999
3,Tia Carrere,0.0,0.9554954442986471,0.9554954442986471,0.04450455570135292
3,George Hamilton,0.09391083651163769,0.9555241668536257,0.8616133303419881,0.13838666965801194
3,Lisa Rinna,0.09201468645198711,0.9565724776037133,0.8645577911517263,0.13544220884827374
3,Stacy Keibler,0.0,0.9578928324429925,0.9578928324429925,0.0421071675570075
3,Jerry Rice,0.11826897498616601,0.9584477839275833,0.8401788089414173,0.15982119105858272
3,Giselle Fernandez,0.0,0.0871244746400536,0.0871244746400536,0.9128755253599464
3,Master P,0.11216690890910401,0.9562314949393946,0.8440645860302907,0.15593541396970934
3,Drew Lachey,0.0,0.9554795762020406,0.9554795762020406,0.044520423797959396
4,Tia Carrere,0.0,1.0,1.0,0.0
4,George Hamilton,0.1152572542032177,1.0,0.8847427457967822,0.11525725420321775
4,Lisa Rinna,0.0,1.0,1.0,0.0
4,Stacy Keibler,0.0,1.0,1.0,0.0
4,Jerry Rice,0.13317266752933765,1.0,0.8668273324706623,0.13317266752933765
4,Master P,0.0,0.11185715844430602,0.11185715844430602,0.888142841555694
4,Drew Lachey,0.0,1.0,1.0,0.0
5,Tia Carrere,0.0,0.10623030873430148,0.10623030873430148,0.8937696912656985
5,George Hamilton,0.0,1.0,1.0,0.0
5,Lisa Rinna,0.0,1.0,1.0,0.0
5,Stacy Keibler,0.0,1.0,1.0,0.0
5,Jerry Rice,0.1286476116461335,1.0,0.8713523883538665,0.12864761164613348
5,Drew Lachey,0.0,1.0,1.0,0.0
6,George Hamilton,0.0,0.1549741637156041,0.1549741637156041,0.8450258362843959
6,Lisa Rinna,0.16548417849260147,1.0,0.8345158215073986,0.16548417849260144
6,Stacy Keibler,0.0,1.0,1.0,0.0
6,Jerry Rice,0.1835217400674808,1.0,0.8164782599325192,0.1835217400674808
6,Drew Lachey,0.0,1.0,1.0,0.0
7,Lisa Rinna,0.0,0.23427374949303356,0.23427374949303356,0.7657262505069664
7,Stacy Keibler,0.24946979390367544,0.963129989152825,0.7136601952491496,0.2863398047508504
7,Jerry Rice,0.25665385921850814,1.0,0.7433461407814919,0.25665385921850814
7,Drew Lachey,0.0,0.9591154571713665,0.9591154571713665,0.04088454282863352
8,Stacy Keibler,0.3059934065561296,0.3059934065561296,0.0,1.0
8,Jerry Rice,0.4784372231667926,0.4784372231667926,0.0,1.0
8,Drew Lachey,0.21556937027707787,0.21556937027707787,0.0,1.0
8,Stacy Keibler,0.3059934065561296,0.3059934065561296,0.0,1.0
8,Jerry Rice,0.4784372231667926,0.4784372231667926,0.0,1.0
8,Drew Lachey,0.21556937027707787,0.21556937027707787,0.0,1.0
