Week,Contestant,Min Vote,Max Vote,Range,Certainty
2,Sasha Pieterse,0.05140280137137364,1.0,0.9485971986286263,0.05140280137137365
2,Frankie Muniz,0.11156406634062459,1.0,0.8884359336593755,0.11156406634062455
2,Jordan Fisher,0.122970514160185,1.0,0.877029485839815,0.12297051416018501
2,Derek Fisher,0.050811232919944535,1.0,0.9491887670800555,0.05081123291994449
2,Nikki Bella,0.06601771978685213,1.0,0.9339822802131479,0.06601771978685211
2,Terrell Owens,0.06900458149562719,1.0,0.9309954185043728,0.06900458149562716
2,Victoria Arlen,0.0838890890526763,1.0,0.9161109109473237,0.08388908905267634
2,Barbara Corcoran,0.0,0.058122233935858275,0.058122233935858275,0.9418777660641418
2,Lindsey Stirling,0.10653565092704036,1.0,0.8934643490729597,0.10653565092704032
2,Debbie Gibson,0.045326769363257066,1.0,0.9546732306367429,0.04532676936325708
2,Nick Lachey,0.06451899385956783,1.0,0.9354810061404322,0.06451899385956783
2,Drew Scott,0.11332431985875961,1.0,0.8866756801412404,0.11332431985875957
2,Vanessa Lachey,0.05651202692823359,1.0,0.9434879730717665,0.05651202692823354
2,Sasha Pieterse,0.05140280137137364,0.05140280137137364,0.0,1.0
2,Frankie Muniz,0.11156406634062459,0.11156406634062459,0.0,1.0
2,Jordan Fisher,0.122970514160185,0.122970514160185,0.0,1.0
2,Derek Fisher,0.050811232919944535,0.050811232919944535,0.0,1.0
2,Nikki Bella,0.06601771978685213,0.06601771978685213,0.0,1.0
2,Terrell Owens,0.06900458149562719,0.06900458149562719,0.0,1.0
2,Victoria Arlen,0.0838890890526763,0.0838890890526763,0.0,1.0
2,Barbara Corcoran,0.058122233935858275,0.058122233935858275,0.0,1.0
2,Lindsey Stirling,0.10653565092704036,0.10653565092704036,0.0,1.0
2,Debbie Gibson,0.045326769363257066,0.045326769363257066,0.0,1.0
2,Nick Lachey,0.06451899385956783,0.06451899385956783,0.0,1.0
2,Drew Scott,0.11332431985875961,0.11332431985875961,0.0,1.0
2,Vanessa Lachey,0.05651202692823359,0.05651202692823359,0.0,1.0
4,Sasha Pieterse,0.0538156645406092,0.7641620169843708,0.7103463524437617,0.28965364755623835
4,Frankie Muniz,0.06077845899445859,0.7803892294972293,0.7196107705027708,0.2803892294972292
4,Jordan Fisher,0.04147757581327384,0.7845646465110615,0.7430870706977877,0.2569129293022123
4,Derek Fisher,0.0,0.0571431907450248,0.0571431907450248,0.9428568092549752
4,Nikki Bella,0.05582208273234893,0.768607360910783,0.7127852781784341,0.28721472182156593
4,Terrell Owens,0.05834765983430955,0.7694492199447698,0.7111015601104602,0.2888984398895398
4,Victoria Arlen,0.04728277092894209,0.773641385464471,0.726358614535529,0.27364138546447103
4,Lindsey Stirling,0.053500778628916806,0.7797226547938426,0.7262218761649258,0.27377812383507416
4,Nick Lachey,0.0648944705948688,1.0,0.9351055294051311,0.06489447059486886
4,Drew Scott,0.06339895002640683,0.7816994750132035,0.7183005249867966,0.28169947501320336
4,Vanessa Lachey,0.055627096903575014,0.7654519713621042,0.7098248744585292,0.29017512554147085
5,Sasha Pieterse,0.0,0.059548984850338715,0.059548984850338715,0.9404510151496612
5,Frankie Muniz,0.05268781433501854,0.5658597679187731,0.5131719535837546,0.48682804641624544
5,Jordan Fisher,0.043821208491464744,0.5730353474857746,0.5292141389943098,0.4707858610056902
5,Nikki Bella,0.05179121985332748,0.539839399887175,0.48804818003384753,0.5119518199661525
5,Terrell Owens,0.0575951255541097,0.5411393753957926,0.48354424984168287,0.5164557501583171
5,Victoria Arlen,0.05464018353420274,0.5496728941220025,0.49503271058779974,0.5049672894122003
5,Lindsey Stirling,0.050581013885098475,0.563226267356373,0.5126452534712745,0.48735474652872546
5,Nick Lachey,0.06824624553438563,1.0,0.9317537544656144,0.06824624553438563
5,Drew Scott,0.06705135764421298,0.567051357644213,0.5,0.5
5,Vanessa Lachey,0.06172438213335138,0.5324865169122902,0.4707621347789388,0.5292378652210612
6,Frankie Muniz,0.07490481967127857,1.0,0.9250951803287214,0.0749048196712786
6,Jordan Fisher,0.05448905460356031,1.0,0.9455109453964397,0.05448905460356035
6,Nikki Bella,0.05118578340522665,1.0,0.9488142165947734,0.051185783405226615
6,Terrell Owens,0.049266917186690753,1.0,0.9507330828133093,0.04926691718669074
6,Victoria Arlen,0.0675821803245796,1.0,0.9324178196754204,0.06758218032457963
6,Lindsey Stirling,0.04796488467880432,1.0,0.9520351153211957,0.04796488467880433
6,Nick Lachey,0.0,0.07996518565565654,0.07996518565565654,0.9200348143443434
6,Drew Scott,0.07777946579030472,1.0,0.9222205342096953,0.0777794657903047
6,Vanessa Lachey,0.04959013121936623,1.0,0.9504098687806337,0.049590131219366285
7,Frankie Muniz,0.1533497170619473,0.1533497170619473,0.0,1.0
7,Jordan Fisher,0.16597813558230054,0.16597813558230054,0.0,1.0
7,Nikki Bella,0.09053793188673417,0.09053793188673417,0.0,1.0
7,Terrell Owens,0.0949218297656869,0.0949218297656869,0.0,1.0
7,Victoria Arlen,0.1160113211104855,0.1160113211104855,0.0,1.0
7,Lindsey Stirling,0.1441230520845939,0.1441230520845939,0.0,1.0
7,Drew Scott,0.158511576190961,0.158511576190961,0.0,1.0
